Date : 2023-09-01 21:00:34
Directory : c:\Users\Alex\Desktop\Projects\backend
Total : 150 files,  4720 codes, 324 comments, 926 blanks, all 5970 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Alex\Desktop\Projects\backend\src\types\database\AddressUsed.ts             | TypeScript         |         20 |          5 |          7 |         32 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\database\Admin.ts                   | TypeScript         |         15 |          1 |          2 |         18 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\database\ExpoToken.ts               | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\database\Job.ts                     | TypeScript         |         34 |          4 |         13 |         51 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\database\Job2.ts                    | TypeScript         |         10 |          1 |          2 |         13 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\database\Likes.ts                   | TypeScript         |          7 |          0 |          1 |          8 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\database\LoadRequest.ts             | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\database\Merchant.ts                | TypeScript         |         14 |          0 |          2 |         16 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\database\MerchantItem.ts            | TypeScript         |         20 |          0 |          2 |         22 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\database\Notifications.ts           | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\database\Order.ts                   | TypeScript         |         25 |          1 |          6 |         32 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\database\Promos.ts                  | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\database\Referral.ts                | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\database\Rider.ts                   | TypeScript         |         26 |          0 |          4 |         30 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\database\Transaction.ts             | TypeScript         |         14 |          0 |          2 |         16 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\database\User.ts                    | TypeScript         |         12 |          0 |          1 |         13 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\http\AuthCreateData.ts              | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\http\MerchantData.ts                | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\http\NewAddressData.ts              | TypeScript         |         10 |          0 |          1 |         11 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\http\NewJobData.ts                  | TypeScript         |         13 |          3 |          5 |         21 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\http\NewNotificationData.ts         | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\http\OrderData.ts                   | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\http\PaypalAuthToken.ts             | TypeScript         |          9 |          0 |          1 |         10 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\http\PaypalRoutes.ts                | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\path\PathPermissions.ts             | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\path\PathReturnable.ts              | TypeScript         |         16 |          0 |          4 |         20 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\token\EncryptedToken.ts             | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\token\TokenContent.ts               | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\ws\Protocol.ts                      | TypeScript         |         90 |         11 |         20 |        121 |
| c:\Users\Alex\Desktop\Projects\backend\src\utils\Address.ts                          | TypeScript         |        139 |         21 |         20 |        180 |
| c:\Users\Alex\Desktop\Projects\backend\src\utils\Admin.ts                            | TypeScript         |         72 |          1 |         11 |         84 |
| c:\Users\Alex\Desktop\Projects\backend\src\utils\Crypto.ts                           | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Users\Alex\Desktop\Projects\backend\src\utils\Job.ts                              | TypeScript         |        631 |         93 |         89 |        813 |
| c:\Users\Alex\Desktop\Projects\backend\src\utils\Job2.ts                             | TypeScript         |         52 |          3 |          9 |         64 |
| c:\Users\Alex\Desktop\Projects\backend\src\utils\Math.ts                             | TypeScript         |        108 |          0 |         20 |        128 |
| c:\Users\Alex\Desktop\Projects\backend\src\utils\Merchant.ts                         | TypeScript         |         90 |          0 |         19 |        109 |
| c:\Users\Alex\Desktop\Projects\backend\src\utils\Notification.ts                     | TypeScript         |         25 |          0 |          6 |         31 |
| c:\Users\Alex\Desktop\Projects\backend\src\utils\Orders.ts                           | TypeScript         |         82 |         10 |         14 |        106 |
| c:\Users\Alex\Desktop\Projects\backend\src\utils\Paypal.ts                           | TypeScript         |         51 |          3 |          8 |         62 |
| c:\Users\Alex\Desktop\Projects\backend\src\utils\Rider.ts                            | TypeScript         |         85 |         13 |         10 |        108 |
| c:\Users\Alex\Desktop\Projects\backend\src\utils\Token.ts                            | TypeScript         |         71 |          1 |          9 |         81 |
| c:\Users\Alex\Desktop\Projects\backend\src\utils\Users.ts                            | TypeScript         |        267 |         49 |         46 |        362 |
| c:\Users\Alex\Desktop\Projects\backend\src\utils\Websocket.ts                        | TypeScript         |         76 |         10 |         17 |        103 |
| c:\Users\Alex\Desktop\Projects\backend\src\utils\index.ts                            | TypeScript         |        118 |          1 |         14 |        133 |
| c:\Users\Alex\Desktop\Projects\backend\src\ws\events\Close.ts                        | TypeScript         |          7 |          3 |          4 |         14 |
| c:\Users\Alex\Desktop\Projects\backend\src\ws\events\Open.ts                         | TypeScript         |         17 |          0 |          4 |         21 |
| c:\Users\Alex\Desktop\Projects\backend\tests\auth.js                                 | JavaScript         |         16 |          0 |          4 |         20 |
| c:\Users\Alex\Desktop\Projects\backend\tests\createjob.js                            | JavaScript         |         31 |          0 |          5 |         36 |
| c:\Users\Alex\Desktop\Projects\backend\tsconfig.json                                 | JSON with Comments |         11 |          0 |          0 |         11 |
| Total                                                                                |                    |      4,720 |        324 |        926 |      5,970 |
+--------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
